HUGOT â›„ï¸|Sat Jul 12 04:22:44 0000 2014||Sorry. My "pake" doesn't exist anymore.
it was a touchdown|Thu Nov 12 22:45:49 0000 2009|uso peniteniary|I blame my ugly sss siblings for having 10 ugly ass kids as to why my Christmas isnâ€™t Christmas anymore smh
Bre|3||A VINE THREAD: Vines guaranteed to make you laugh, cry, scream and remember the good times ðŸŽ¥ðŸ¿
AbHiJai : à¤¬à¥‡à¤–à¥à¤¯à¤¾à¤²|Wed Nov 16 09:21:59 0000 2011|Delhi|People in Santa Cap on Christmas ðŸŽ… Why Don't You Try Snake Around Your Neck On NaagPanchami ðŸ ðŸ˜‰ ðŸ˜‚
young_hallzie|0|DOOM CITY, USA|@hallzie_is_dead asides from lack of development for Snoke, I am 100% satisfied with where the story leaves off. Weâ€¦ https://t.co/DPldm4fZsR
YouTube|10|Minnesota, USA|I liked a @YouTube video https://t.co/4E3AFgUqxv MY DIVORCED PARENTS REACT TO MY 2017 BEST YEAR OF MY LIFE!! **emotional**
HipsterArtGirl|43|United States|Just finished a call. I'm available now at https://t.co/vTOlBn84ov. Give me a call before I become busy again!
Asking Alexandria|Fri Apr 08 16:18:08 0000 2016||what went so wrong with me?
Ù‹nikki|8|exoplanet|@Ieboyz @bestofjimins I don't care how bad a person he is, we will not hate on him for his looks. This is disgusting, delete
Dembouz|13|RealMadridWorld|@RMadridBabe @Dembouz15 We are talking about 2017 you fool.
kobi|3|EXT 802 Suplex City|To those trying to politicize my tweets, quick Math Lesson APC = PDP = Trash ðŸš®
ManiðŸ’œ|Tue Jun 07 17:56:27 0000 2011|Elmore, AL|I just realized Iâ€™m grown asf wtf am I trying to go to sleep when my ass should be Santa putting the rest of the gifts under the tree ðŸ§
ðŸŒ™|16||bitch you tried https://t.co/LKDD19rsO6
M. Salinas|3|San Diego, Ca|The holidays can be rough. You are loved, you are heard, and you are not alone. Suicide Prevention 800-273-8255 Mâ€¦ https://t.co/TYyan8c0WO
Barney Sandoval|Fri Apr 12 14:32:37 0000 2013|Las Lomas, CA|Loteria with shots is fucking crazy!
Compleat|87|London, England|Read why businesses fail to adopt accounts payable automation: https://t.co/xX4hk3TBqC https://t.co/rzpa9Mgsyu
Paul Ryan|0||@SpeakerRyan Dumb asshole
Fife.me.uk|48||Rain today!^ With a high of 8C and a low of 1C. https://t.co/VkMmvqcfpS
Mr. Wilson|3|New Orleans|In Louisiana bitch is so commonly used I forget everybody donâ€™t rock with being called a bitch lmao
ã…¤ã…¤ã…¤|3|Zone 6 |High up looking dumb ðŸ˜­
Nick Cohen|3|London|Football and the British sickness - Me in the Observer https://t.co/0SKI3GjAbs
Difficult Northerner|3|Saudade|"The West won the world not by the superiority of its ideas or values or religion but rather by its superiority inâ€¦ https://t.co/is1NkHbL46
Tea Pain|3|Gizzard Ridge, AR|Q: Who goes on vacation but canâ€™t stop tweetinâ€™ bad things about the folks investigation them? A: Guilty people.
FREDDY|3|San Diego, CA|iâ€™m not going to lie. 2017 broke me, matured me, whooped my ass, humbled me, blessed me, made me smarter & wiser. iâ€¦ https://t.co/pnTXD5V4em
Whistle Blogs|116|Washington, DC|A Whistleblower's Tainted Defeat: CA Appellate Reversal Paves Way for Continued Bank Retaliation | naked capitalism https://t.co/LqrSWE2Q6m
eleni ðŸŒ·|Tue Feb 07 00:35:26 0000 2012||hey guys just a little family announcement iâ€™m changing my birthday to today, so
Hiroshi ebooks|Sat Sep 13 21:34:09 0000 2014||Hm. School is so boring...
Wann|Tue Jan 29 07:16:29 0000 2013|Kota Kinabalu, Sabah|Everyone seems so worried about final
satan payton|0||@payton_rylee_ Or any amount of legs and arms we donâ€™t body shame here
Kyle Griffin|0|Lakeland, FL|@kylegriffin1 Thatâ€™s... not ... why the fuck do I comment this is stupid
em|0||@emalinaaa_ so bomb
âœ¨|3|post page |Canâ€™t nan bitch make me stop fucking with a nigga. Bitch Iâ€™ll leave him alone when the fuck I get ready. And just bâ€¦ https://t.co/qODV6hnsLO
Post Malone|3||if it happens, it happens. don't force it.
Gracyn Bishop|Fri Feb 17 22:38:00 0000 2017||you think iâ€™m dumb and iâ€™m not. i know everytime you lie to me lol.
elixir peep ðŸ–¤ðŸ|Sun Sep 13 15:10:07 0000 2015|âœž|a person I know cut their wrists and almost died last night and heâ€™s threatening to end his life and idk how to help
Demi Lovato|3|DALLAS/LA|Slept all day.. canâ€™t sleep anymore... running a fever... what now ðŸ˜©ðŸ˜©ðŸ˜©
MiloðŸ™„ðŸ’•Â®|Sun Sep 06 03:28:10 0000 2015||Conspiracy theories are fuckin insane
Sirod|Sun Dec 11 20:58:45 0000 2016|Imerse|Im literally dying ðŸ˜¢
anissa .|Sat Dec 03 04:33:00 0000 2016|Queens, NY|Some people in your life are harder to take out then others... and thatâ€™s a problem.
Girl Code|3||Here's a reminder for you in 2018: â€¢ don't beg for someone to stay â€¢ save space for people who matter â€¢ don't chasâ€¦ https://t.co/wVgu9EDtiD
princesskiaraâ™¡|3||I can officially laugh without being in pain ðŸ™„ðŸ˜‚
NUFFÂ®ï¸|0|California, USA|@nuffsaidNY Humans Never Learn, Queen BeeðŸ Got Cheated On Queen Bee Nigga Queen Bee Got Cheated On Too. Yall Humansâ€¦ https://t.co/7f1wMNK9Iy
Attab|Wed Mar 13 12:48:20 0000 2013|Kuala Lumpur, Malaysia|Wounds heal, scars won't.
y.|3||I don't wanna get hurt again .
lil yachty|3|#SailingTeam|lowkey wanna disappear for a little
egg lopez|117|stolen land|concept: we have kissed intensely in the dark. we share intimate secrets. I cry. we hold each other Idk sex scenarâ€¦ https://t.co/aporXDdKK8
Jas|Wed Dec 03 19:48:19 0000 2014||hold on, im confused but Iï¸ canâ€™t ask you
Wonny Giovanni|3|Homeless|I was bullied in middle School by a nigga named Antwaan. I started doing push-ups so i could knock this nigga the fâ€¦ https://t.co/tUPsRfvFsv
The Jerusalem Post|0|Outremont, QuÃ©bec|@Jerusalem_Post The attitude of these drivers is disgusting.
TheChocolateChicken|117|California, USA|â—•â¦ Hair Conditioner Bar, Conditioner Bar - Raspberry Lemonade Solid Conditioner Bar - Dry Hair Conditioner, Leave iâ€¦ https://t.co/XboVJKTCDv
Immobilize The Lion|3|yifftown, probably|me, younger: "i wanna be huge, but like, i'm afraid of drawing too much attention myself? there's a lot of stigma aâ€¦ https://t.co/VygTeu772b
Jazmine|3|Houston, Tx|I think ppl get offended when you aren't ashamed of things that they were taught to be ashamed of. They resent youâ€¦ https://t.co/ZsuclSTg0w
Donald J. Trump|17||@RogueSNRadvisor @realDonaldTrump why did you say "brown person" ? you should stop being a racist and stop judgingâ€¦ https://t.co/rprKHeG63m
mjb|14||@amberinzaman @mjb____ Sadly, the Henry Jackson whose name is attached to this society was about as obtuse as thisâ€¦ https://t.co/qapynF951Z
âš¡ï¸EXISTENCEâœ¨|Sun Dec 24 08:11:22 0000 2017|sleep deprived as fuck|im sad i laughed
elliss|Wed Jun 17 18:54:36 0000 2015|Tuscany|Have yourself a marry Little Christmas..â„ðŸŽµðŸŽ¶
Matt G|115|ÃœT: 44.312289,-78.332735|"There are nights full of anger, words that are thrown, tempers that are shattered and thin. But the moments of... https://t.co/5FeObsUa3p
Rocky|3|Pune, India|blood
barbie|Sun Oct 02 03:34:23 0000 2016||kaylah mind my business too much thatâ€™s why she stay blocked
âœ–Kingâœ–|3|All Blue|Have you ever screamed inside your head so loud that you feel the frustration?
Lilith|3||Mercury is no longer retrograde so you can relax now, your problems are your own fault again
Hutcherbuns|116|Beautiful BC - 604|Home from work, done the Christmas Eve laundry, cleaned up the catâ€™s Christmas Eve vomit and Hershey squirts. Whatâ€¦ https://t.co/agGOYKZiop
merry jenâ€™s mike|36||when doyoung calls jennie his bitch https://t.co/e6vZQEpyrK
nickwolaver|21|Atlanta|A long lost fave ... https://t.co/8X0xLvg2Lv
G JaylaðŸ‘¸ðŸ½|3|Dtown, Hawaii|Shit be hurting my feelings but Iâ€™m not no bitch ass bitch
sambo|Fri Jan 21 02:26:14 0000 2011|NJ|When klaud texts me at 2am saying that he put a christmas present in my mailbox ðŸ¤” I'm worried
Snapp|Tue May 12 15:58:06 0000 2015||Then ima be the bad guy when i kirk
C.|Tue Oct 18 23:20:13 0000 2011|In the whip|If you wanna know so bad, just ask ðŸ¤·ðŸ½â€â™€ï¸ðŸ˜‚
comeback smitty|3|Litty Smitty City|2k be getting me so mad lol I really just threw my controller
ðŸŒ¹|3|His Precious â¤|I miss him so much ..
Walnut Park|-118.210743||Someone hit my DMs finally left that loser of a bf ðŸ˜³ðŸ˜‰
ROSIE|36||@kitty62862 @uo_duck99 @RepChuntley @Rosie On a side note Susan... Iâ€™m a die hard Sabres fan! See you guys on New Years Day! Cheers ðŸ»
FBI|89||@Believertrump @MarkNapolillo @jeffsessions FBI is CORRUPT! Very sad and very alarming! @FBI's house needs to be câ€¦ https://t.co/aESifE3XKX
NICKI MINAJ|3|New app #NickiMinajTheEmpire|Have you ever noticed how confused people act when you start treating them EXACTLY how theyâ€™ve been treating you?
â™¡|3||i just need someone who needs me
ðŸŽ„ðŸŽ…JinglebellRockMaMaD ðŸŽ„ðŸŽ…|0|Minnesota|@Cathyldemelo Way to fricken cold.
Gentleman Wayfarer|96|London and Texas|â€œI heard the bells on Christmas Dayâ € Their old, familiar carols play,â € And wild and sweetâ € Theâ€¦ https://t.co/26ODn1RhVc
Tamwa Hafeniâ„¢|3|Rundu, Namibia|The worst part of getting older is the slow loss of respect for certain family members you once admired.
Sleighberleo|11|Dunno Anymore|And before @Saberleo_ yells at me for forgetting the last part of the Killers Santa trilogy. 25.2 - Dirt Sledding https://t.co/GyOcHw2spW
lost|3|we do not own content|How do you uninstall anxiety?
#EpistlesOfMama|3|Ghana/Africa|Savage
Jazmine|3|Houston, Tx|I think ppl get offended when you aren't ashamed of things that they were taught to be ashamed of. They resent youâ€¦ https://t.co/ZsuclSTg0w
M1ndFuck3r|68|New York, NY|What social networking websites do you use? â€” Damn near all of them https://t.co/F3RgKnGg92
prod.keyblade|3|1/4 of wrkdpmt|santa: -owns slaves -stalks children, watches them at all times -needs 9 reindeer to haul his fat ass the grinch:â€¦ https://t.co/VaqhmSNvP9
feline navidad|27|heck|@darshandtaxes @maybethief @junejujuxiv it uh wasn't bad cuz communist can't bad case closed DPRK went to the sun
alexa|117| THE FELIX'S |MY BIAS IS LEE MINHO MY BIAS IS LEE MINHO MY BIAS IS LEE MINHO MY BIAS IS LEE FE- ?? no not felix MY BIAS IS LEE MIâ€¦ https://t.co/yjZvTzvvqo
Olive D. Cox|Mon Jan 02 06:13:50 0000 2012|Manhattan, KS|Someone tell me why my dad's heat is set to 65Â°?? It's so fucking cold, Santa thinks it's home?!
triss ðŸ¦‹ðŸ’ŒðŸ’«|3||people have parents that r still happily married and they wanna complain about a shitty life at home , lmfao fuck off
anjelahwe$t|3|Texas, USA|Maybe Iâ€™m a fool for you
nick|Sat Jan 26 04:25:15 0000 2013||If you can go to bed before 2 Christmas morning then damn, props to you.
YouTube|10||I liked a @YouTube video https://t.co/sEfWCO4iQL 4 Mistake Exam à¤¸à¥‡ à¤ªà¤¹à¤²à¥‡ à¤•à¤­à¥€ à¤¨à¤¾ à¤•à¤°à¥‡ || How to Study In Exam
Robin|Tue Jul 07 17:19:30 0000 2015|Mechonis|the lorithia boss fight is so fucking bad
â€¢..ðŸ¨ðŸ‡»ðŸ‡®ðŸ¨..â€¢|0|Seoul âœˆï¸ MD|@_k0aLA__ girl omg i miss these days!
Amazing Facts|80||Doctors Are Warning Parents About This Harmful New Internet Challenge https://t.co/4JPmRs9fBJ
jackboy!|12|D1 Bound|@BandUpLil_ @toppdawgjayy Onion was a dead mission nigðŸ˜‚
Kay-Trill;|0|Los Angeles, CA|@___myreee Poor baby ðŸ˜”
Bhadmus Hakeem|14|Around you.|@pokoschmurda @Bhadoosky So sad.
Good Vibes|3||drunk thoughts ft. you
Aric|0|Rockford, IL|@awoodford132730 Read the replies too. ðŸ˜‚ðŸ˜‚ðŸ’€
Salvador Gali|0|Isla Vista, CA|@salvadorgali0 I miss you
ashley rae ridge|3|making music |my mama ainâ€™t raise no fool, maybe a psycho but not no damn fool lmao
El Daqahlia|32.083598|Egypt|Heâ€™s playlist on anghami makes me feel so disappointed more and miss him more..
Johnnie Guilbert|3|Contact JGuilbertLLC@gmail.com|For some people this time of year can be very hard. To anyone who may be going through something hard and is havingâ€¦ https://t.co/XxWSJyaUtT
Beyonce has an uncle named Larry Beyince. Bruh....|3|40 ounces to freedom|My girl opened a text to me with "Hey sorry to bother you again" and I picked up the phone and called her because wâ€¦ https://t.co/kk8xJ9pcwq
âœ¨|3||bouta force myself to sleep
Defend The Pitch|107|Slough Green, England|Joshua vs Klitschko weather: What happens if it rains and could the fight at Wembley Stadium be abandoned? https://t.co/NkZ28zS1Na
YouTube|10||I liked a @YouTube video https://t.co/DDvL3fH57d 15 Everyday Things You Are Doing Wrong!
Stop cyberbully la apa nak jadi dengan korang ni|3|Boston, England|Twitter is now a new platform for people constantly condemn the beliefs and interests of others. Itâ€™s sickening, itâ€¦ https://t.co/3OJTSsCqdC
Â° Dre T Â°|Mon Sep 20 04:03:00 0000 2010|Louisville ,ky|Wish My Brother & Sister Was Here For The Holidays - Mbip Red - Msip Tysha Damn I Miss Yal
prod.keyblade|3|1/4 of wrkdpmt|santa: -owns slaves -stalks children, watches them at all times -needs 9 reindeer to haul his fat ass the grinch:â€¦ https://t.co/VaqhmSNvP9
Sheffield|-1.325576||I think my fave thing about Christmas now Iâ€™m older is getting to save up in the months before and spoil my parents for a change ðŸ˜Œ
Hygiene Facts|3||Don't be ashamed of the way you look. You have exactly what somebody else wants.
NICKI MINAJ|3|New app #NickiMinajTheEmpire|Have you ever noticed how confused people act when you start treating them EXACTLY how theyâ€™ve been treating you?
IG. tice_antisocial|0|Under the Sea |@__tice__ Iâ€™m tired ðŸ˜©
